iter	Passed	Remaining
733	3548	1286
734	3553	1281
735	3555	1275
736	3556	1269
737	3558	1263
738	3560	1257
739	3586	1259
740	3587	1253
741	3589	1247
742	3590	1241
743	3591	1235
744	3593	1230
745	3599	1225
746	3601	1219
747	3603	1213
748	3604	1208
749	3606	1202
750	3607	1196
751	3614	1191
752	3616	1186
753	3617	1180
754	3618	1174
755	3620	1168
756	3622	1162
757	3630	1159
758	3632	1153
759	3633	1147
760	3635	1141
761	3638	1136
762	3639	1130
763	3646	1126
764	3648	1120
765	3649	1114
766	3650	1109
767	3652	1103
768	3653	1097
769	3655	1091
770	3662	1087
771	3663	1082
772	3666	1076
773	3668	1071
774	3669	1065
775	3698	1067
776	3699	1061
777	3701	1056
778	3703	1050
779	3710	1046
780	3712	1041
781	3713	1035
782	3715	1029
783	3716	1023
784	3717	1018
785	3719	1012
786	3726	1008
787	3728	1003
788	3729	997
789	3731	991
790	3732	986
791	3733	980
792	3735	975
793	3745	971
794	3747	966
795	3752	961
796	3754	956
797	3756	950
798	3758	945
799	3760	940
800	3761	934
801	3762	929
802	3770	924
803	3771	919
804	3772	913
805	3774	908
806	3775	902
807	3777	897
808	3783	893
809	3785	887
810	3801	885
811	3803	880
812	3804	875
813	3806	869
814	3807	864
815	3808	858
816	3815	854
817	3816	849
818	3818	843
819	3819	838
820	3821	833
821	3822	827
822	3823	822
823	3825	817
824	3828	812
825	3829	806
826	3831	801
827	3832	796
828	3846	793
829	3847	788
830	3848	782
831	3850	777
832	3852	772
833	3853	766
834	3858	762
835	3859	757
836	3861	751
837	3862	746
838	3865	741
839	3867	736
840	3869	731
841	3872	726
842	3874	721
843	3876	716
844	3877	711
845	3878	706
846	3880	701
847	3883	696
848	3886	691
849	3888	686
850	3889	681
851	3890	675
852	3891	670
853	3892	665
854	3893	660
855	3895	655
856	3896	650
857	3898	645
858	3899	640
859	3904	635
860	3906	630
861	3907	625
862	3908	620
863	3909	615
864	3912	610
865	3914	605
866	3918	601
867	3920	596
868	3921	591
869	3923	586
870	3925	581
871	3928	576
872	3930	571
873	3932	566
874	3933	561
875	3935	557
876	3938	552
877	3939	547
878	3941	542
879	3945	538
880	3947	533
881	3948	528
882	3979	527
883	3982	522
884	3984	517
885	3985	512
886	3987	507
887	3988	503
888	3992	498
889	3994	493
890	3996	488
891	3997	483
892	3998	479
893	3999	474
894	4000	469
895	4001	464
896	4002	459
897	4003	454
898	4004	449
899	4006	445
900	4007	440
901	4009	435
902	4010	430
903	4011	425
904	4012	421
905	4014	416
906	4015	411
907	4016	406
908	4016	402
909	4017	397
910	4021	392
911	4023	388
912	4024	383
913	4025	378
914	4026	374
915	4026	369
916	4027	364
917	4028	359
918	4029	355
919	4030	350
920	4031	345
921	4032	341
922	4033	336
923	4036	332
924	4038	327
925	4039	322
926	4040	318
927	4041	313
928	4042	308
929	4043	304
930	4044	299
931	4044	295
932	4045	290
933	4046	285
934	4047	281
935	4048	276
936	4053	272
937	4054	268
938	4055	263
939	4056	258
940	4057	254
941	4058	249
942	4059	245
943	4060	240
944	4061	236
945	4062	231
946	4066	227
947	4067	223
948	4069	218
949	4070	214
950	4071	209
951	4072	205
952	4072	200
953	4073	196
954	4074	192
955	4075	187
956	4076	183
957	4077	178
958	4078	174
959	4079	169
960	4081	165
961	4082	161
962	4083	156
963	4084	152
964	4085	148
965	4086	143
